subject,exp_type,experiment,scs
LTP320,scalp,ltpFR2,0.5442405647766251
LTP321,scalp,ltpFR2,0.5274092252597021
LTP322,scalp,ltpFR2,0.5494345012237983
LTP323,scalp,ltpFR2,0.5459952206006793
LTP324,scalp,ltpFR2,0.5196056248147912
LTP325,scalp,ltpFR2,0.5479043532166681
LTP326,scalp,ltpFR2,0.5531343019734538
LTP327,scalp,ltpFR2,0.5310265698439957
LTP328,scalp,ltpFR2,0.5211317847716243
LTP329,scalp,ltpFR2,0.5650143445384606
LTP330,scalp,ltpFR2,0.5536767795675535
LTP331,scalp,ltpFR2,0.5118080858875
LTP334,scalp,ltpFR2,0.5544482229309547
LTP336,scalp,ltpFR2,0.5273516197736718
LTP337,scalp,ltpFR2,0.5701994651379266
LTP338,scalp,ltpFR2,0.533798835705259
LTP339,scalp,ltpFR2,0.5337024491064319
LTP340,scalp,ltpFR2,0.5722896787521486
LTP341,scalp,ltpFR2,0.5378822380788949
LTP342,scalp,ltpFR2,0.5307304286345701
LTP343,scalp,ltpFR2,0.5337678036177266
LTP344,scalp,ltpFR2,0.5301744183564804
LTP346,scalp,ltpFR2,0.5314140969158836
LTP347,scalp,ltpFR2,0.5104945999514049
LTP348,scalp,ltpFR2,0.5156185566515763
LTP349,scalp,ltpFR2,0.5288345222494477
LTP352,scalp,ltpFR2,0.5489231943742989
LTP353,scalp,ltpFR2,0.5562876664667449
LTP354,scalp,ltpFR2,0.5370500417020141
LTP355,scalp,ltpFR2,0.5387898968256258
LTP356,scalp,ltpFR2,0.5183905423212887
LTP357,scalp,ltpFR2,0.5416566440021292
LTP358,scalp,ltpFR2,0.5488948003739309
LTP359,scalp,ltpFR2,0.5301283003794398
LTP360,scalp,ltpFR2,0.5400386481987943
LTP361,scalp,ltpFR2,0.5298272393410415
LTP362,scalp,ltpFR2,0.52776061882154
LTP363,scalp,ltpFR2,0.5476429545630753
LTP364,scalp,ltpFR2,0.5226112147268268
LTP365,scalp,ltpFR2,0.5534513456738105
LTP366,scalp,ltpFR2,0.5515244544512653
LTP367,scalp,ltpFR2,0.5179280331006161
LTP368,scalp,ltpFR2,0.5010039630736557
LTP369,scalp,ltpFR2,0.5197946922814691
LTP370,scalp,ltpFR2,0.548911074572144
LTP371,scalp,ltpFR2,0.5358239041417957
LTP372,scalp,ltpFR2,0.5181936025974321
LTP373,scalp,ltpFR2,0.5646766105894877
LTP374,scalp,ltpFR2,0.5560993234722684
LTP375,scalp,ltpFR2,0.5726210152169581
LTP376,scalp,ltpFR2,0.5575013122217821
LTP377,scalp,ltpFR2,0.5392063056990163
LTP378,scalp,ltpFR2,0.5253438014470374
LTP379,scalp,ltpFR2,0.5182149954523224
LTP381,scalp,ltpFR2,0.5452569230388234
LTP382,scalp,ltpFR2,0.5551936208120763
LTP383,scalp,ltpFR2,0.4929479543916832
LTP384,scalp,ltpFR2,0.5474626825047773
LTP385,scalp,ltpFR2,0.5296615838278598
LTP386,scalp,ltpFR2,0.5401238881618082
LTP387,scalp,ltpFR2,0.5495877705487294
LTP388,scalp,ltpFR2,0.5237762655405054
LTP389,scalp,ltpFR2,0.5264479185484732
LTP390,scalp,ltpFR2,0.5496821398154496
LTP391,scalp,ltpFR2,0.5658007168763046
LTP392,scalp,ltpFR2,0.527798989187341
LTP393,scalp,ltpFR2,0.5334069723082101
