subject,exp_type,experiment,r_pcs
R1115T,intracranial,FR1,0.7339670200924083
R1118N,intracranial,FR1,0.40059005091677335
R1120E,intracranial,FR1,0.36164145276159165
R1121M,intracranial,FR1,0.5566579178675003
R1122E,intracranial,FR1,0.4822513383451115
R1123C,intracranial,FR1,0.5089928756748555
R1124J,intracranial,FR1,0.560442627541505
R1125T,intracranial,FR1,0.7566825073170794
R1127P,intracranial,FR1,0.6587869424092654
R1128E,intracranial,FR1,0.4314343992431941
R1129D,intracranial,FR1,0.36590179069981993
R1130M,intracranial,FR1,0.6197751302637104
R1131M,intracranial,FR1,0.7646601261271669
R1135E,intracranial,FR1,0.6445369612897479
R1136N,intracranial,FR1,0.4476925209116258
R1137E,intracranial,FR1,0.6738078444556984
R1138T,intracranial,FR1,0.29891038195777947
R1142N,intracranial,FR1,0.6111289805800877
R1145J,intracranial,FR1,0.4942102358601818
R1146E,intracranial,FR1,0.523674030563404
R1147P,intracranial,FR1,0.4262935003704382
R1148P,intracranial,FR1,0.2980155329144031
R1149N,intracranial,FR1,0.3787581799959348
R1150J,intracranial,FR1,0.5895519262928771
R1151E,intracranial,FR1,0.5850318620615279
R1153T,intracranial,FR1,0.5748820960424892
R1154D,intracranial,FR1,0.6405505787201629
R1155D,intracranial,FR1,0.3763019031450925
R1156D,intracranial,FR1,0.6070411639285309
R1158T,intracranial,FR1,0.8446940278425251
R1159P,intracranial,FR1,0.1908891340574922
R1161E,intracranial,FR1,0.3473498940911776
R1162N,intracranial,FR1,0.3547513827635838
R1163T,intracranial,FR1,-0.2892820150169028
R1164E,intracranial,FR1,0.746287079752918
R1166D,intracranial,FR1,0.6711306788680469
R1167M,intracranial,FR1,0.5471367064040744
R1168T,intracranial,FR1,0.44495228804327835
R1169P,intracranial,FR1,0.5406382183275187
R1170J,intracranial,FR1,0.1470308731515015
R1171M,intracranial,FR1,0.4121557050479064
R1172E,intracranial,FR1,0.6396113776677761
R1173J,intracranial,FR1,0.3725694293750757
R1174T,intracranial,FR1,0.3621323141266349
R1175N,intracranial,FR1,0.4480147354165426
R1176M,intracranial,FR1,0.30253680398933547
R1177M,intracranial,FR1,0.7619124910299944
R1178P,intracranial,FR1,0.8654963311359333
R1184M,intracranial,FR1,0.05665208294309071
R1185N,intracranial,FR1,0.3113716398357754
R1187P,intracranial,FR1,-0.13778903480168303
R1189M,intracranial,FR1,0.31628462625272885
R1191J,intracranial,FR1,0.5690212837715339
R1193T,intracranial,FR1,0.6220274910822324
R1195E,intracranial,FR1,0.6753117603867772
R1196N,intracranial,FR1,0.4572703810565999
R1198M,intracranial,FR1,0.8950296066013327
R1200T,intracranial,FR1,0.4876660377946311
R1201P,intracranial,FR1,0.433226630789464
R1202M,intracranial,FR1,0.634228581070003
R1203T,intracranial,FR1,0.6579792478310648
R1204T,intracranial,FR1,0.507159659172758
R1207J,intracranial,FR1,0.662374344191352
R1212P,intracranial,FR1,0.7395742309557911
R1214M,intracranial,FR1,0.9417823983179451
R1215M,intracranial,FR1,0.6805559706379557
R1216E,intracranial,FR1,0.4438278731160222
R1217T,intracranial,FR1,0.6236084213164568
R1221P,intracranial,FR1,0.4285076917510721
R1222M,intracranial,FR1,0.547828770316824
R1223E,intracranial,FR1,0.293307352009195
R1226D,intracranial,FR1,0.6147307967283567
R1228M,intracranial,FR1,0.5951971825252764
R1229M,intracranial,FR1,0.8192601870810781
R1230J,intracranial,FR1,0.5204141864512929
R1231M,intracranial,FR1,0.37129354444270646
R1232N,intracranial,FR1,0.5420378154381903
R1234D,intracranial,FR1,0.36008835608211287
R1236J,intracranial,FR1,0.34329411106836677
R1240T,intracranial,FR1,0.11897360230018456
R1241J,intracranial,FR1,0.7906618883144697
R1243T,intracranial,FR1,0.610209476219405
R1247P,intracranial,FR1,0.6626964685146116
